train_perplexity_conv_lstm_transfer_learning,test_perplexity_conv_lstm_transfer_learning,train_loss_conv_lstm_transfer_learning,test_loss_conv_lstm_transfer_learning
"tf.Tensor(1.2861464, shape=(), dtype=float32)","tf.Tensor(4515.193, shape=(), dtype=float32)","tf.Tensor(0.3550414, shape=(), dtype=float32)","tf.Tensor(0.90752804, shape=(), dtype=float32)"
"tf.Tensor(1.2671815, shape=(), dtype=float32)","tf.Tensor(4351.938, shape=(), dtype=float32)","tf.Tensor(0.3425482, shape=(), dtype=float32)","tf.Tensor(0.90320945, shape=(), dtype=float32)"
"tf.Tensor(1.250773, shape=(), dtype=float32)","tf.Tensor(4063.6633, shape=(), dtype=float32)","tf.Tensor(0.33161926, shape=(), dtype=float32)","tf.Tensor(0.8978812, shape=(), dtype=float32)"
"tf.Tensor(1.2373669, shape=(), dtype=float32)","tf.Tensor(4648.214, shape=(), dtype=float32)","tf.Tensor(0.32260963, shape=(), dtype=float32)","tf.Tensor(0.909411, shape=(), dtype=float32)"
"tf.Tensor(1.2243159, shape=(), dtype=float32)","tf.Tensor(5756.1343, shape=(), dtype=float32)","tf.Tensor(0.31364667, shape=(), dtype=float32)","tf.Tensor(0.92543113, shape=(), dtype=float32)"
"tf.Tensor(1.2087874, shape=(), dtype=float32)","tf.Tensor(5142.7534, shape=(), dtype=float32)","tf.Tensor(0.3029562, shape=(), dtype=float32)","tf.Tensor(0.9163008, shape=(), dtype=float32)"
"tf.Tensor(1.1902176, shape=(), dtype=float32)","tf.Tensor(5472.639, shape=(), dtype=float32)","tf.Tensor(0.28986394, shape=(), dtype=float32)","tf.Tensor(0.9220045, shape=(), dtype=float32)"
"tf.Tensor(1.1729488, shape=(), dtype=float32)","tf.Tensor(6202.606, shape=(), dtype=float32)","tf.Tensor(0.27758396, shape=(), dtype=float32)","tf.Tensor(0.9303774, shape=(), dtype=float32)"
"tf.Tensor(1.1605124, shape=(), dtype=float32)","tf.Tensor(6713.077, shape=(), dtype=float32)","tf.Tensor(0.26862925, shape=(), dtype=float32)","tf.Tensor(0.9385493, shape=(), dtype=float32)"
"tf.Tensor(1.152065, shape=(), dtype=float32)","tf.Tensor(6654.3633, shape=(), dtype=float32)","tf.Tensor(0.2624786, shape=(), dtype=float32)","tf.Tensor(0.9376711, shape=(), dtype=float32)"
"tf.Tensor(1.1404799, shape=(), dtype=float32)","tf.Tensor(6339.3643, shape=(), dtype=float32)","tf.Tensor(0.2539759, shape=(), dtype=float32)","tf.Tensor(0.9326838, shape=(), dtype=float32)"
"tf.Tensor(1.1296501, shape=(), dtype=float32)","tf.Tensor(6954.187, shape=(), dtype=float32)","tf.Tensor(0.24592356, shape=(), dtype=float32)","tf.Tensor(0.94293797, shape=(), dtype=float32)"
"tf.Tensor(1.1171702, shape=(), dtype=float32)","tf.Tensor(7620.3267, shape=(), dtype=float32)","tf.Tensor(0.23656885, shape=(), dtype=float32)","tf.Tensor(0.9503298, shape=(), dtype=float32)"
"tf.Tensor(1.1074018, shape=(), dtype=float32)","tf.Tensor(8289.756, shape=(), dtype=float32)","tf.Tensor(0.22916844, shape=(), dtype=float32)","tf.Tensor(0.9552788, shape=(), dtype=float32)"
"tf.Tensor(1.099196, shape=(), dtype=float32)","tf.Tensor(7547.2188, shape=(), dtype=float32)","tf.Tensor(0.22290087, shape=(), dtype=float32)","tf.Tensor(0.9466641, shape=(), dtype=float32)"
